MultiStation:  Weekly: 06/26/2019-07/02/2019  Type: AVG 1 Hr.,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Time,Bellefonte II Ozone ppm,Brandywine Creek State Park Ozone ppm,Killens Pond Ozone ppm,Lewes Ozone ppm,Lums Pond State Park Ozone ppm,Martin Luther King Wind Speed V mph,Martin Luther King Wind Dir V Deg,Martin Luther King Temp Deg F,Martin Luther King Ozone ppm,Martin Luther King NOY ppb,Seaford Ozone ppm
6/26/2019,0:00,0.04,0.038,0.027,0.031,0.016,5.9,316,76,0.038,4.4,0.023
6/26/2019,1:00,0.041,0.036,0.029,0.028,0.019,7.4,324,75,0.037,4.6,0.025
6/26/2019,2:00,0.04,0.032,0.028,0.024,0.012,5.9,324,73,0.035,5,0.023
6/26/2019,3:00,0.039,0.029,0.02,0.022,0.005,3.3,315,72,0.03,8.9,0.024
6/26/2019,4:00,0.031,0.027,0.015,0.021,0.003,1.5,310,70,0.018,20.7,0.022
6/26/2019,5:00,0.032,0.022,0.018,0.024,0.003,1.9,320,71,0.016,28.4,0.021
6/26/2019,6:00,0.034,0.024,0.028,0.03,0.014,4.7,320,73,0.021,29.8,0.028
6/26/2019,7:00,0.041,0.031,0.038,0.039,0.028,3.9,334,77,0.03,26.1,0.04
6/26/2019,8:00,0.05,0.041,0.046,<Samp,<Samp,4.4,347,79,0.044,12.8,0.047
6/26/2019,9:00,0.058,0.052,0.055,0.051,0.055,4.7,337,81,0.052,14.7,<Samp
6/26/2019,10:00,0.062,0.059,0.058,0.053,NoData,5.7,303,83,0.057,6.9,0.057
6/26/2019,11:00,0.062,0.06,0.058,0.055,0.065,5.8,309,85,0.059,6.3,0.058
6/26/2019,12:00,0.065,0.061,0.06,0.058,0.066,4.5,287,86,0.062,6.2,0.062
6/26/2019,13:00,0.066,0.064,0.06,0.057,0.066,5.8,318,87,0.061,8.5,0.064
6/26/2019,14:00,0.07,0.067,0.061,0.063,0.063,5.3,310,87,0.063,8.9,0.066
6/26/2019,15:00,0.07,0.066,0.062,0.064,0.064,5.5,289,88,0.066,4.8,0.068
6/26/2019,16:00,0.07,0.064,0.064,0.062,0.063,7.5,298,88,0.065,5.1,0.074
6/26/2019,17:00,0.069,0.065,0.073,0.058,0.063,5.5,270,88,0.066,4.3,0.073
6/26/2019,18:00,0.066,0.063,0.061,0.056,0.065,4.6,249,86,0.061,5.6,0.071
6/26/2019,19:00,0.059,0.063,0.042,0.049,0.044,3.5,244,84,0.059,8.2,0.067
6/26/2019,20:00,0.066,0.061,0.046,0.045,0.042,2.6,270,82,0.062,12.5,0.057
6/26/2019,21:00,0.058,0.066,0.046,0.037,0.026,2.1,267,81,0.057,11.1,0.052
6/26/2019,22:00,0.049,0.069,0.045,0.034,0.015,1.3,250,80,0.044,16.2,0.052
6/26/2019,23:00,0.05,<Samp,0.042,0.033,0.009,1.9,267,78,0.043,14.5,0.05
6/27/2019,0:00,0.053,0.061,0.039,0.037,0.019,3.8,295,78,0.045,10.7,0.044
6/27/2019,1:00,0.057,0.053,0.039,0.036,0.009,3.9,292,76,0.042,9.8,0.039
6/27/2019,2:00,0.048,0.04,0.03,0.037,0.014,4.6,311,75,0.04,7.6,0.034
6/27/2019,3:00,0.039,0.032,0.028,0.034,0.012,4.4,322,75,0.033,8.6,0.027
6/27/2019,4:00,0.033,0.028,0.027,0.029,0.006,3,313,74,0.022,15.7,0.022
6/27/2019,5:00,0.035,0.024,0.024,0.024,0.006,2.8,330,74,0.019,20.1,0.022
6/27/2019,6:00,0.04,0.026,0.03,0.029,0.021,4.1,335,76,0.024,23.3,0.028
6/27/2019,7:00,0.048,0.031,0.042,0.042,0.035,4,353,79,0.035,14.7,0.041
6/27/2019,8:00,0.057,0.041,0.052,0.047,0.049,3.2,348,82,0.049,12.7,0.053
6/27/2019,9:00,0.064,0.058,0.059,0.056,0.058,3.9,331,85,0.06,10.1,0.062
6/27/2019,10:00,0.07,0.065,0.062,0.063,0.063,5.5,332,86,0.064,8.4,0.066
6/27/2019,11:00,0.072,0.068,0.063,0.064,0.065,6.4,316,87,0.067,7.3,0.067
6/27/2019,12:00,0.071,0.068,0.065,0.063,0.065,6.6,327,89,0.066,11.1,0.066
6/27/2019,13:00,0.072,0.068,0.064,0.068,0.067,8.2,315,90,0.066,9.9,0.067
6/27/2019,14:00,0.074,0.07,0.064,0.067,0.069,8.7,311,90,0.066,12.6,0.066
6/27/2019,15:00,0.074,0.069,0.066,0.072,0.068,8.1,323,90,0.07,6.5,0.067
6/27/2019,16:00,0.075,0.07,0.065,0.073,0.064,6,333,90,0.068,9,0.065
6/27/2019,17:00,0.07,0.063,0.063,0.071,0.051,5,337,89,0.069,7.9,0.067
6/27/2019,18:00,0.058,0.055,0.039,0.057,0.033,3.6,353,88,0.067,7.8,0.063
6/27/2019,19:00,0.038,0.062,0.034,0.041,0.027,3.1,353,87,0.055,13.8,0.056
6/27/2019,20:00,0.041,0.06,0.036,0.046,0.012,1.8,282,84,0.044,15.9,0.05
6/27/2019,21:00,0.037,0.045,0.035,0.05,0.009,2.3,317,83,0.036,17.6,0.051
6/27/2019,22:00,0.034,0.05,0.038,0.05,0.003,2.1,295,82,0.039,12.4,0.049
6/27/2019,23:00,0.04,<Samp,0.029,0.045,0.002,1.4,28,79,0.032,13,0.045
6/28/2019,0:00,0.039,0.045,0.033,0.043,0.004,1,3,78,0.035,10.4,0.035
6/28/2019,1:00,0.035,0.031,0.027,0.042,0,1.6,124,76,0.02,14,0.027
6/28/2019,2:00,0.019,0.019,0.024,0.04,0,2,311,75,0.014,22.1,0.025
6/28/2019,3:00,0.009,0.02,0.016,0.03,0,2,359,74,0.019,16.3,0.019
6/28/2019,4:00,0.007,0.013,0.015,0.022,0,1.1,299,74,0.008,25,0.015
6/28/2019,5:00,0.006,0.008,0.007,0.016,0,<Samp,292,75,0.002,40.8,0.015
6/28/2019,6:00,0.015,0.003,0.013,0.024,0.007,1.8,120,79,0.017,34.1,0.023
6/28/2019,7:00,0.026,0.007,0.04,0.036,0.017,3.7,103,81,0.032,30.8,0.032
6/28/2019,8:00,<Samp,0.025,0.053,0.044,0.037,3.1,148,85,0.05,22.9,0.053
6/28/2019,9:00,0.062,0.062,0.06,<Samp,0.056,3.7,152,86,0.065,16.3,0.062
6/28/2019,10:00,0.079,0.073,0.065,NoData,0.062,4.6,173,88,0.079,13.2,0.066
6/28/2019,11:00,0.08,0.081,0.064,NoData,0.066,4.6,205,88,0.075,5.9,0.066
6/28/2019,12:00,0.07,0.071,0.066,NoData,0.067,5.6,200,89,0.068,4.4,0.065
6/28/2019,13:00,0.068,0.068,0.069,NoData,0.065,5.9,193,90,0.072,4.3,0.063
6/28/2019,14:00,0.069,0.065,0.069,NoData,0.063,5.1,220,90,0.073,5.4,0.061
6/28/2019,15:00,0.074,0.065,0.064,NoData,0.062,4,202,89,0.072,6,0.053
6/28/2019,16:00,0.07,0.062,0.06,NoData,0.06,4.9,239,88,0.066,5.6,0.057
6/28/2019,17:00,0.069,0.064,0.052,NoData,0.056,6.7,290,79,0.059,7.1,0.054
6/28/2019,18:00,0.061,0.053,0.042,NoData,0.027,1.6,286,80,0.053,10.5,0.053
6/28/2019,19:00,0.05,0.052,0.046,NoData,0.012,2.4,150,82,0.046,13.5,0.051
6/28/2019,20:00,0.047,0.04,0.047,NoData,0.006,4,132,81,0.045,12.5,0.048
